feature,importance
cat__primaryGuest_address_countryCode_OM,0.0007704364
cat__primaryGuest_address_countryCode_KG,0.0007677276
cat__primaryGuest_address_countryCode_MK,0.00076095335
cat__ratePlan_category_exclusive corporate rate hrs tuv,0.00075837073
cat__channelCode_Rydoo,0.00075131893
cat__primaryGuest_address_countryCode_BG,0.0007494152
cat__ratePlan_category_longstay special (from 91 nights),0.00074090285
cat__primaryGuest_address_countryCode_IR,0.00070918206
cat__primaryGuest_address_countryCode_IS,0.00067902345
cat__primaryGuest_address_countryCode_LB,0.0006744351
cat__ratePlan_category_team member shortstay,0.0006710433
cat__ratePlan_category_airbnb longstay,0.0006654679
cat__primaryGuest_address_countryCode_MR,0.0006611536
cat__primaryGuest_preferredLanguage_cs,0.00065714057
cat__primaryGuest_address_countryCode_CR,0.00065203087
cat__primaryGuest_address_countryCode_MD,0.0006346811
cat__primaryGuest_address_countryCode_BD,0.00062964944
cat__ratePlan_category_summer special - 15% discount,0.00062704284
cat__primaryGuest_address_countryCode_BA,0.00061845104
cat__primaryGuest_address_countryCode_BH,0.00058201555
cat__ratePlan_category_exklusive firmenrate with breakfast,0.0005770501
cat__primaryGuest_address_countryCode_EE,0.0005610861
cat__primaryGuest_address_countryCode_ET,0.0005585166
cat__primaryGuest_address_countryCode_LY,0.00055288634
cat__ratePlan_category_exclusive corporate rate price guarantee hankook,0.0005504994
cat__primaryGuest_address_countryCode_ME,0.00052857446
cat__primaryGuest_address_countryCode_MN,0.00051575864
cat__ratePlan_category_hrs pwc,0.00031046916
cat__primaryGuest_address_countryCode_RE,0.0
cat__primaryGuest_preferredLanguage_aa,0.0
cat__primaryGuest_address_countryCode_SS,0.0
cat__cancellationFee_name_Flexible Corporate Midstay,0.0
cat__primaryGuest_address_countryCode_SN,0.0
cat__cancellationFee_name_Flexible Corporate Mediumstay,0.0
cat__ratePlan_category_family & friends longstay,0.0
cat__primaryGuest_address_countryCode_SJ,0.0
cat__cancellationFee_name_Flexible Rate with Museum Pass,0.0
cat__ratePlan_category_hrs axians,0.0
cat__primaryGuest_address_countryCode_PY,0.0
cat__ratePlan_category_exclusive corporate rate hrs telekom,0.0
cat__ratePlan_category_airbnb long stay,0.0
cat__primaryGuest_address_countryCode_RW,0.0
cat__primaryGuest_address_countryCode_SV,0.0
cat__cancellationFee_name_Non-refundable Rate with Museum Pass,0.0
cat__primaryGuest_preferredLanguage_bn,0.0
