feature,level,n,cancel_rate,share,lift_vs_base
ratePlan_category,airbnb long stay,70,0.1,0.00040566305626546593,0.477785469044191
ratePlan_category,stay again -10%,138,0.07246376811594203,0.0007997357394947756,0.3462213543798485
ratePlan_category,nonref,30667,0.03727133400723905,0.1777209849499006,0.17807701800551415
ratePlan_category,flexibel shortstay,8,0.0,4.6361492144624673e-05,0.0
ratePlan_category,hrs ströer se,2,0.0,1.1590373036156168e-05,0.0
ratePlan_category,exclusive corporate rate hrs atruvia,2,0.0,1.1590373036156168e-05,0.0
ratePlan_category,exclusive corporate rate hrs captrain,1,0.0,5.795186518078084e-06,0.0
ratePlan_category,exclusive corporate rate volkswagen,3,0.0,1.7385559554234253e-05,0.0
ratePlan_category,exclusive corporate rate whz,1,0.0,5.795186518078084e-06,0.0
ratePlan_category,team member longstay,1,0.0,5.795186518078084e-06,0.0
ratePlan_category,hrs captrain,8,0.0,4.6361492144624673e-05,0.0
stay_bucket,long,21770,0.3471290767110703,0.12616121049855988,1.6585322873527566
stay_bucket,mid,36348,0.19593925387916805,0.2106434395591022,0.9361692831882712
stay_bucket,short,114439,0.18732250369192321,0.6631953499423379,0.8949997028897773
guest_country_region,Unknown,11968,0.9200367647058824,0.06935679224835851,4.395801971628999
guest_country_region,RoW,13629,0.32834397241176905,0.07898259705488621,1.5687797886658996
guest_country_region,CH,2299,0.17181383210091344,0.013323133805061517,0.820901523586148
guest_country_region,GB,3744,0.16880341880341881,0.021697178323684348,0.8065182062925446
guest_country_region,DE,120040,0.14001999333555482,0.6956541896300933,0.6689951819139255
guest_country_region,EU_other,19320,0.13462732919254658,0.11196300352926859,0.6432298162442757
guest_country_region,AT,1557,0.1245985870263327,0.009023105408647578,0.5953139434461981
primaryGuest_preferredLanguage,bn,1,1.0,5.795186518078084e-06,4.7778546904419095
primaryGuest_preferredLanguage,it,2,1.0,1.1590373036156168e-05,4.7778546904419095
primaryGuest_preferredLanguage,es,38,0.9210526315789473,0.0002202170876869672,4.4006556359333375
primaryGuest_preferredLanguage,,11968,0.9200367647058824,0.06935679224835851,4.395801971628999
primaryGuest_preferredLanguage,en,31666,0.2542474578412177,0.1835103762814606,1.2147574089795936
primaryGuest_preferredLanguage,de,128881,0.1320287707264841,0.7468894336364216,0.6308142814888116
primaryGuest_preferredLanguage,ru,1,0.0,5.795186518078084e-06,0.0
travelPurpose,,3418,0.7826214160327677,0.01980794751879089,3.739251403432448
travelPurpose,Leisure,97334,0.2851316086876117,0.5640686845506122,1.3623173939613529
travelPurpose,Business,71805,0.07921453937748067,0.41612336793059684,0.3784755585158914
has_group,0,163841,0.2160875482937726,0.9494891543084314,1.0324349061614941
has_group,1,8716,0.08168884809545664,0.050510845691568586,0.39029744602967414
adults_n,2,49125,0.22210687022900763,0.2846885377005859,1.0611943517030367
adults_n,1,123432,0.20420150366193532,0.7153114622994141,0.9756451120664684
has_promo,0,165141,0.21213992890923514,0.957022896781933,1.0135737543690024
has_promo,1,7416,0.14603559870550162,0.042977103218067074,0.6977368702465734
has_corporate_code,0,163225,0.21179353652933067,0.9459193194132953,1.0119187419119424
has_corporate_code,1,9332,0.16566652378911273,0.054080680586704684,0.7915305777350184
has_children,1,1785,0.3092436974789916,0.01034440793476938,1.477521450489599
has_children,0,170772,0.20825428056121612,0.9896555920652306,0.9950086911840118
is_weekend_arrival,1,43883,0.21760134904177017,0.2543101699728206,1.0396676261657087
is_weekend_arrival,0,128674,0.2064675070332779,0.7456898300271795,0.9864717469027948
